Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1620.5621373761
FDW14,OUT017,1364.3560549275
NCN55,OUT010,632.7136896785
FDQ58,OUT017,2455.6915814891
FDY38,OUT027,5887.4749543553
FDH56,OUT046,1899.5276406247
FDL48,OUT018,748.6579458428
FDC48,OUT027,2168.3863585467
FDN33,OUT045,1551.2999285008
FDA36,OUT017,3112.4674496309
FDT44,OUT017,1876.7953873125
FDQ56,OUT045,1391.0571571336
NCC54,OUT019,629.9411932254
FDU11,OUT049,2074.1119492409
DRL59,OUT013,858.930810013
FDM24,OUT049,2484.9073656324
FDI57,OUT045,3132.6536868581
DRC12,OUT018,2918.9017133365
NCM42,OUT027,2643.6655153703
FDA46,OUT010,548.710130188
FDA31,OUT013,2839.0352825435
NCJ31,OUT035,3816.5874565511
FDG52,OUT046,836.2855308965
NCL19,OUT019,407.5521839146
FDS10,OUT035,2910.8164070578
FDX22,OUT010,608.0543369187
NCF19,OUT035,836.2855308965
NCE06,OUT046,2655.3831582658
DRC27,OUT046,3893.3872952015
FDE21,OUT035,1899.5276406247
NCR42,OUT019,117.0181009389
FDX51,OUT018,2917.9804858218
NCR06,OUT018,620.7740271915
FDU31,OUT027,5453.8162028503
FDU59,OUT017,2632.6509049537
FDR03,OUT027,5097.0975045354
FDS49,OUT027,2168.3863585467
FDD48,OUT010,447.871920228
NCF18,OUT017,3127.3070146517
NCD43,OUT027,2620.2568767718
NCD54,OUT018,1884.4851208446
FDY19,OUT010,447.871920228
NCY54,OUT017,2845.7957703121
NCL19,OUT018,2258.0108954129
FDP23,OUT010,579.4827193686
FDC26,OUT013,1816.6759196637
FDR14,OUT010,227.5762190379
NCS41,OUT035,3126.1495756466
FDF41,OUT035,3958.6609618085
FDU34,OUT046,2067.6284184098
DRH11,OUT046,961.9469543996
FDM03,OUT013,1647.5204965701
FDS31,OUT017,2909.6589680528
FDJ20,OUT017,1988.445064823
FDV44,OUT027,5131.8734565117
FDG02,OUT049,3077.2196048078
FDA09,OUT013,2902.8984802842
FDT04,OUT013,737.1305248975
FDL58,OUT019,787.8587976327
FDE52,OUT045,1432.4258567645
FDW12,OUT035,2478.4238348013
FDL51,OUT017,3440.5803588455
NCY42,OUT027,3271.4376950477
FDR07,OUT017,1472.116574914
FDN40,OUT045,2478.4238348013
FDB35,OUT027,2456.258934388
FDA22,OUT017,2663.4374557327
NCL06,OUT046,3962.8373218369
FDI35,OUT013,2902.8984802842
NCW42,OUT045,3685.0049705938
NCX06,OUT049,2899.8902664332
FDC37,OUT027,2620.2568767718
FDZ14,OUT018,1867.0425780173
DRG49,OUT049,3899.8708260326
NCG06,OUT045,3962.8373218369
DRC36,OUT045,2864.9812003423
FDV21,OUT019,381.8047658986
FDB53,OUT046,2478.4238348013
DRP47,OUT019,771.0501256005
FDA14,OUT013,2448.9310937206
DRC24,OUT035,2478.4238348013
FDW21,OUT018,1545.379704216
NCH29,OUT046,1551.2999285008
FDU58,OUT013,3119.3890878781
FDY27,OUT017,2883.5099792924
FDV56,OUT035,1677.0132376508
FDT59,OUT046,3868.1910772352
FDB23,OUT046,3638.1691871162
FDR49,OUT045,828.2289224543
FDB03,OUT010,637.0903435489
FDN39,OUT045,2652.227531581
FDX02,OUT027,5649.3320997419
FDQ16,OUT027,2620.2568767718
FDU35,OUT018,1505.1922046862
NCT29,OUT013,2038.1356773291
FDZ27,OUT046,836.2855308965
FDN57,OUT017,2101.6028983228
FDA03,OUT018,2258.0108954129
FDZ36,OUT045,3126.1495756466
NCU05,OUT013,1292.0510309625
FDT39,OUT018,2258.0108954129
FDK60,OUT017,1528.5676751886
FDZ25,OUT017,2706.8962230937
FDG12,OUT046,2067.6284184098
DRB01,OUT019,555.4706179565
NCC43,OUT027,5808.7196873938
FDX13,OUT019,750.8448136137
FDM22,OUT049,905.6061785661
FDJ03,OUT027,1372.3056353791
FDU14,OUT018,3662.933620739
FDB33,OUT010,467.9899729146
FDP27,OUT046,3126.1495756466
FDO38,OUT010,335.9586723718
FDE28,OUT027,5925.9424779788
FDO27,OUT035,1551.2999285008
