Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1547.5294
FDW14,OUT017,1344.5684
NCN55,OUT010,572.50635
FDQ58,OUT017,2445.6746
FDY38,OUT027,5983.4546
FDH56,OUT046,1888.2489
FDL48,OUT018,718.23517
FDC48,OUT027,2169.4075
FDN33,OUT045,1526.9585
FDA36,OUT017,3158.0784
FDT44,OUT017,1872.3767
FDQ56,OUT045,1358.0298
NCC54,OUT019,561.1245
FDU11,OUT049,2058.4514
DRL59,OUT013,825.70746
FDM24,OUT049,2466.8567
FDI57,OUT045,3079.355
DRC12,OUT018,2854.1023
NCM42,OUT027,2647.8845
FDA46,OUT010,524.73285
FDA31,OUT013,2823.9163
NCJ31,OUT035,3835.0652
FDG52,OUT046,795.0485
NCL19,OUT019,358.9475
FDS10,OUT035,2929.8462
FDX22,OUT010,541.1345
NCF19,OUT035,806.5055
NCE06,OUT046,2624.6594
DRC27,OUT046,3868.0842
FDE21,OUT035,1904.3445
NCR42,OUT019,60.387985
FDX51,OUT018,2854.1023
NCR06,OUT018,548.9208
FDU31,OUT027,5518.968
FDU59,OUT017,2616.2422
FDR03,OUT027,5142.465
FDS49,OUT027,2169.4075
FDD48,OUT010,364.18106
NCF18,OUT017,3132.2349
NCD43,OUT027,2629.8525
NCD54,OUT018,1756.0754
FDY19,OUT010,364.18106
NCY54,OUT017,2843.0852
NCL19,OUT018,2182.8044
FDP23,OUT010,541.1345
FDC26,OUT013,1822.2377
FDR14,OUT010,190.30374
NCS41,OUT035,3151.0972
FDF41,OUT035,3995.6423
FDU34,OUT046,2045.6865
DRH11,OUT046,909.57104
FDM03,OUT013,1634.8701
FDS31,OUT017,2927.3281
FDJ20,OUT017,1913.5548
FDV44,OUT027,5108.9023
FDG02,OUT049,3071.854
FDA09,OUT013,2899.06
FDT04,OUT013,682.08124
FDL58,OUT019,714.1256
FDE52,OUT045,1389.14
FDW12,OUT035,2477.6423
FDL51,OUT017,3384.377
NCY42,OUT027,3332.561
FDR07,OUT017,1406.259
FDN40,OUT045,2454.0918
FDB35,OUT027,2441.9866
FDA22,OUT017,2663.7139
NCL06,OUT046,3962.9263
FDI35,OUT013,2899.06
NCW42,OUT045,3650.2695
NCX06,OUT049,2917.2366
FDC37,OUT027,2629.8525
FDZ14,OUT018,1783.9502
DRG49,OUT049,3891.3342
NCG06,OUT045,3962.9263
DRC36,OUT045,2845.9053
FDV21,OUT019,351.03998
FDB53,OUT046,2454.0918
DRP47,OUT019,729.5738
FDA14,OUT013,2426.5056
DRC24,OUT035,2477.6423
FDW21,OUT018,1478.0403
NCH29,OUT046,1526.9585
FDU58,OUT013,3112.139
FDY27,OUT017,2884.702
FDV56,OUT035,1667.1196
FDT59,OUT046,3841.531
FDB23,OUT046,3598.6719
FDR49,OUT045,795.0485
FDB03,OUT010,566.31445
FDN39,OUT045,2638.8235
FDX02,OUT027,5757.0654
FDQ16,OUT027,2629.8525
FDU35,OUT018,1471.6305
NCT29,OUT013,2018.1003
FDZ27,OUT046,795.0485
FDN57,OUT017,2094.7542
FDA03,OUT018,2182.8044
FDZ36,OUT045,3118.4475
NCU05,OUT013,1274.6445
FDT39,OUT018,2182.8044
FDK60,OUT017,1522.5186
FDZ25,OUT017,2709.4954
FDG12,OUT046,2045.6865
DRB01,OUT019,526.7629
NCC43,OUT027,5839.5537
FDX13,OUT019,728.324
FDM22,OUT049,885.1184
FDJ03,OUT027,1316.242
FDU14,OUT018,3659.6746
FDB33,OUT010,416.43707
FDP27,OUT046,3118.4475
FDO38,OUT010,294.5475
FDE28,OUT027,6056.137
FDO27,OUT035,1543.0541
DRL23,OUT027,2629.8525
FDS28,OUT046,909.57104
FDX24,OUT013,1474.9885
